"Response_ID";"Timestamp";"Age";"Gender";"Occupation_Status";"Country_Region";"Monthly_Income_Range";"Shop_Most_Where";"Online_Shopping_Frequency";"Preferred_Platform";"Primary_Device";"Top_Spending_Category";"Review_Influence_Score";"Social_Ads_Influence_Score";"Price_Comparison_Frequency";"Discount_Importance_Score";"Follows_Brands_On_Social";"Likely_To_Buy_After_Ad_Score";"Makes_Shopping_List";"Impulse_Purchase_Frequency";"Return_Frequency";"Avg_Monthly_Spend_NonEssentials";"Preferred_Payment_Method";"Uses_BNPL_Installments";"Online_Shopping_Satisfaction_Score";"Trust_In_Online_Reviews_Score";"Regret_After_Purchase_Frequency";"Reason_Prefer_Online";"Reason_Prefer_InStore";"Best_Shopping_Mode"
34;"06/08/2026 21:24:05";27;"Male";"Employed full-time";"United States";"$1,000-3,000";"Online only";"Often";"Local e-commerce";"Smartphone";"Clothing";4;4;"5";3;"Yes";5;"Sometimes";"3";"Sometimes";"Under $50";"Digital wallet";"Yes, occasionally";7;6;2;"Convenience";"Try product before buying";"Equal / both"
35;"24/07/2026 00:58:30";26;"Female";"Employed full-time";"Kenya";"$3,000-6,000";"Online only";"Occasionally";"Local e-commerce";"Smartphone";"Beauty & personal care";2;4;"3";5;"No";3;"Unknown";"2";"Often";"$50-150";"Digital wallet";"No, never";7;7;1;"More variety";"No delivery wait";"Online"
37;"18/08/2026 22:55:51";29;"Female";"Unemployed";"Pakistan";"$1,000-3,000";"Online only";"Occasionally";"Brand websites";"Smartphone";"Clothing";4;3;"5";3;"No";4;"Never";"4";"Often";"$50-150";"Cash";"No, never";9;6;1;"More variety";"Trust";"Online"
38;"18/07/2026 23:24:53";16;"Male";"Student";"Colombia";"Under $1,000";"Online only";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"miscellaneous";3;1;"2";4;"No";1;"Never";"3";"Never";"$50-150";"Credit Card";"Yes, regularly";5;8;2;"Convenience";"Not applicable";"Online"
42;"07/08/2026 07:41:27";31;"Male";"Employed full-time";"Egypt";"$1,000-3,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Electronics";5;2;"5";4;"No";3;"Always";"4";"Sometimes";"$150-300";"Debit Card";"No, never";8;4;1;"Better prices";"No delivery wait";"Online"
43;"29/06/2026 21:11:20";21;"Male";"Employed part-time";"United States";"Under $1,000";"Equal mix";"Rarely";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";3;2;"3";3;"Unknown";2;"Sometimes";"3";"Often";"$50-150";"Digital wallet";"Yes, occasionally";7;7;2;"Convenience";"Trust";"Offline"
45;"30/07/2026 11:42:20";27;"Male";"Employed part-time";"Turkiye";"$1,000-3,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Laptop";"Groceries";3;4;"";5;"No";2;"Often";"1";"Often";"$50-150";"Debit Card";"Yes, occasionally";6;4;1;"Convenience";"Trust";"Unknown"
48;"23/07/2026 13:58:34";32;"Male";"Employed part-time";"Colombia";"$6,000+";"In-store only";"Rarely";"Brand websites";"Laptop";"Beauty & personal care";1;2;"4";3;"No";1;"Sometimes";"2";"Sometimes";"$300-500";"Debit Card";"Yes, occasionally";7;6;4;"Convenience";"No delivery wait";"Offline"
49;"16/08/2026 07:16:32";19;"Male";"Student";"Nigeria";"Under $1,000";"Equal mix";"Occasionally";"Physical stores";"Smartphone";"Books";4;4;"5";3;"No";3;"Always";"";"Sometimes";"Under $50";"Debit Card";"Yes, occasionally";8;4;2;"Convenience";"Unknown";"Online"
50;"15/08/2026 04:03:27";30;"Male";"Self-employed";"Indonesia";"$3,000-6,000";"Online only";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";1;2;"2";3;"No";4;"Often";"2";"Sometimes";"Under $50";"Debit Card";"No, never";7;6;2;"Better prices";"Try product before buying";"Online"
51;"20/08/2026 18:18:10";42;"Male";"Self-employed";"Brazil";"Under $1,000";"Online only";"Often";"Local e-commerce";"Smartphone";"Groceries";3;3;"1";3;"No";3;"Always";"2";"Sometimes";"$150-300";"Cash";"No, never";10;10;2;"More variety";"No delivery wait";"Online"
52;"23/08/2026 20:34:15";31;"Male";"Employed full-time";"Pakistan";"$3,000-6,000";"Online only";"Often";"Local e-commerce";"Smartphone";"Clothing";3;2;"5";4;"No";3;"Never";"2";"Never";"$300-500";"Credit Card";"No, never";7;8;4;"Convenience";"Not applicable";"Online"
53;"10/08/2026 04:59:16";36;"Prefer not to say";"Self-employed";"United States";"$3,000-6,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";2;2;"5";4;"No";1;"Sometimes";"1";"Sometimes";"$150-300";"Cash";"No, never";6;4;2;"Better prices";"Try product before buying";"Offline"
61;"24/08/2026 20:32:11";21;"Female";"Student";"India";"Under $1,000";"Online only";"Unknown";"Global marketplace (Amazon etc.)";"Laptop";"Clothing";1;3;"4";4;"No";2;"Always";"4";"Never";"Under $50";"Digital wallet";"Yes, regularly";9;6;2;"Not applicable";"Trust";"Online"
65;"28/06/2026 07:33:57";35;"Male";"Employed full-time";"South Africa";"Under $1,000";"In-store only";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";2;4;"4";3;"No";3;"Sometimes";"2";"Never";"Unknown";"Credit Card";"No, never";9;6;2;"Convenience";"No delivery wait";"Offline"
66;"26/07/2026 00:26:52";42;"Female";"Employed full-time";"South Africa";"$3,000-6,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Laptop";"Groceries";2;3;"4";5;"No";2;"Often";"2";"Never";"Unknown";"Debit Card";"Yes, occasionally";9;8;2;"More variety";"Try product before buying";"Unknown"
67;"17/08/2026 14:34:10";21;"Female";"Student";"Kenya";"Under $1,000";"Equal mix";"Often";"Brand websites";"Laptop";"Clothing";4;3;"5";5;"No";2;"Never";"3";"Sometimes";"Under $50";"Credit Card";"No, never";7;8;2;"Convenience";"No delivery wait";"Offline"
71;"30/07/2026 15:14:33";24;"Prefer not to say";"Self-employed";"India";"Unknown";"Equal mix";"Rarely";"Global marketplace (Amazon etc.)";"Laptop";"Electronics";5;4;"5";3;"No";4;"Often";"2";"Never";"$150-300";"Digital wallet";"No, never";8;5;1;"More variety";"Try product before buying";"Offline"
72;"23/06/2026 19:43:12";24;"Male";"Employed part-time";"Brazil";"$6,000+";"Online only";"Often";"Brand websites";"Smartphone";"Groceries";1;2;"4";5;"No";2;"Often";"3";"Never";"$300-500";"Cash";"Yes, occasionally";8;4;3;"Convenience";"Trust";"Online"
75;"23/06/2026 20:47:44";27;"Male";"Unemployed";"Turkiye";"Under $1,000";"Equal mix";"Always";"Brand websites";"Smartphone";"Clothing";1;2;"";4;"Yes";2;"Never";"1";"Never";"$150-300";"Digital wallet";"No, never";7;8;1;"Convenience";"Try product before buying";"Offline"
76;"16/08/2026 04:06:02";24;"Male";"Student";"Brazil";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Laptop";"Groceries";5;4;"";2;"No";4;"Often";"4";"Sometimes";"$50-150";"Credit Card";"Unknown";6;10;1;"More variety";"Not applicable";"Offline"
78;"22/08/2026 12:45:17";25;"Male";"Student";"India";"Unknown";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";5;5;"3";5;"No";5;"Often";"4";"Sometimes";"$50-150";"Digital wallet";"Yes, regularly";6;7;1;"Not applicable";"Try product before buying";"Online"
81;"30/06/2026 13:31:27";21;"Female";"Employed full-time";"Vietnam";"$6,000+";"Online only";"Unknown";"Local e-commerce";"Smartphone";"Electronics";2;2;"4";4;"No";1;"Always";"";"Never";"$500+";"Credit Card";"Yes, occasionally";10;6;1;"Convenience";"Trust";"Equal / both"
82;"26/06/2026 20:54:23";23;"Female";"Student";"Turkiye";"$1,000-3,000";"Equal mix";"Rarely";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";5;4;"5";5;"No";5;"Often";"3";"Never";"$150-300";"Debit Card";"No, never";9;5;3;"More variety";"Try product before buying";"Online"
84;"20/06/2026 05:00:08";29;"Female";"Employed part-time";"India";"Under $1,000";"Equal mix";"Always";"Unknown";"Smartphone";"Groceries";3;3;"3";3;"Yes";3;"Sometimes";"4";"Sometimes";"$50-150";"Digital wallet";"No, never";6;5;3;"More variety";"Try product before buying";"Equal / both"
86;"19/07/2026 02:24:16";21;"Male";"Employed part-time";"Egypt";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";3;4;"5";4;"Yes";4;"Sometimes";"4";"Never";"Under $50";"Cash";"No, never";8;7;3;"Better prices";"Try product before buying";"Offline"
91;"02/08/2026 11:07:43";26;"Prefer not to say";"Self-employed";"United States";"Unknown";"Online only";"Occasionally";"Brand websites";"Smartphone";"Books";3;3;"5";5;"Yes";3;"Sometimes";"2";"Often";"Under $50";"Debit Card";"No, never";7;9;3;"More variety";"No delivery wait";"Online"
92;"24/07/2026 17:57:38";17;"Male";"Student";"United States";"Under $1,000";"Equal mix";"Rarely";"Local e-commerce";"Smartphone";"Beauty & personal care";1;1;"5";5;"No";1;"Often";"2";"Sometimes";"Under $50";"Digital wallet";"No, never";6;7;3;"Convenience";"Trust";"Online"
93;"14/08/2026 19:37:46";21;"Male";"Unemployed";"Colombia";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"miscellaneous";4;5;"5";3;"No";4;"Often";"4";"Sometimes";"$50-150";"Digital wallet";"Yes, occasionally";7;9;2;"More variety";"Try product before buying";"Online"
94;"05/07/2026 15:15:26";29;"Prefer not to say";"Employed full-time";"Kenya";"$1,000-3,000";"Online only";"Often";"Physical stores";"Smartphone";"Electronics";4;4;"3";4;"No";4;"Sometimes";"4";"Often";"$150-300";"Digital wallet";"Yes, regularly";5;7;2;"Convenience";"Try product before buying";"Unknown"
96;"22/07/2026 16:50:37";18;"Prefer not to say";"Employed part-time";"Brazil";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Laptop";"Clothing";4;4;"5";3;"No";3;"Sometimes";"4";"Never";"Under $50";"Digital wallet";"No, never";8;3;2;"Convenience";"Try product before buying";"Online"
97;"23/06/2026 06:55:42";21;"Male";"Student";"Vietnam";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";4;3;"5";2;"Yes";4;"Sometimes";"3";"Never";"Under $50";"Digital wallet";"No, never";5;5;4;"Convenience";"Try product before buying";"Offline"
98;"13/07/2026 07:41:48";19;"Male";"Student";"Indonesia";"$1,000-3,000";"Equal mix";"Occasionally";"Brand websites";"Laptop";"Books";3;5;"4";3;"No";2;"Never";"4";"Sometimes";"Under $50";"Debit Card";"No, never";7;7;3;"More variety";"Not applicable";"Equal / both"
99;"19/08/2026 10:10:47";42;"Female";"Self-employed";"India";"$3,000-6,000";"Online only";"Often";"Local e-commerce";"Smartphone";"Clothing";2;4;"4";5;"No";2;"Often";"1";"Never";"Under $50";"Debit Card";"No, never";8;8;1;"Better prices";"Trust";"Online"
102;"07/08/2026 15:19:18";50;"Female";"Employed full-time";"Kenya";"$1,000-3,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Electronics";5;5;"";2;"No";3;"Sometimes";"4";"Sometimes";"$300-500";"Debit Card";"Yes, occasionally";8;7;3;"Convenience";"Try product before buying";"Online"
103;"03/07/2026 05:41:43";23;"Male";"Self-employed";"India";"Under $1,000";"In-store only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"miscellaneous";3;1;"5";3;"No";5;"Sometimes";"2";"Often";"$50-150";"Digital wallet";"Yes, regularly";8;5;1;"More variety";"Try product before buying";"Offline"
104;"26/06/2026 09:15:22";18;"Male";"Student";"Vietnam";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";1;2;"5";4;"No";2;"Never";"3";"Never";"Under $50";"Debit Card";"Unknown";7;7;1;"Convenience";"No delivery wait";"Equal / both"
105;"19/08/2026 13:56:09";48;"Male";"Employed full-time";"Indonesia";"$3,000-6,000";"Equal mix";"Unknown";"Brand websites";"Smartphone";"Unknown";3;2;"5";3;"No";2;"Never";"2";"Sometimes";"Under $50";"Credit Card";"No, never";7;6;1;"More variety";"Not applicable";"Offline"
106;"29/07/2026 12:13:49";24;"Male";"Student";"Germany";"Under $1,000";"Online only";"Always";"Local e-commerce";"Smartphone";"Groceries";1;3;"5";3;"No";2;"Always";"3";"Never";"Under $50";"Debit Card";"Yes, regularly";6;5;3;"More variety";"Trust";"Online"
108;"08/08/2026 02:15:20";20;"Female";"Student";"Mexico";"$1,000-3,000";"Equal mix";"Rarely";"Local e-commerce";"Laptop";"Clothing";3;2;"4";3;"No";3;"Never";"2";"Never";"Under $50";"Digital wallet";"No, never";9;5;2;"Convenience";"Try product before buying";"Equal / both"
109;"04/07/2026 01:38:46";19;"Female";"Student";"United States";"Under $1,000";"Equal mix";"Often";"Physical stores";"Laptop";"Clothing";2;2;"3";2;"No";4;"Never";"2";"Sometimes";"Under $50";"Cash";"No, never";10;6;2;"Convenience";"Try product before buying";"Equal / both"
111;"20/06/2026 08:50:50";33;"Female";"Employed full-time";"Kenya";"Under $1,000";"Equal mix";"Rarely";"Local e-commerce";"Smartphone";"Clothing";4;4;"3";4;"No";4;"Often";"5";"Never";"Under $50";"Digital wallet";"Yes, occasionally";9;5;3;"Convenience";"Not applicable";"Offline"
113;"27/06/2026 05:06:18";16;"Prefer not to say";"Student";"Egypt";"$1,000-3,000";"Online only";"Often";"Brand websites";"Smartphone";"Groceries";2;5;"4";5;"Yes";3;"Never";"3";"Sometimes";"$50-150";"Debit Card";"No, never";5;7;3;"Convenience";"Trust";"Online"
115;"11/07/2026 17:47:06";18;"Female";"Employed part-time";"India";"Under $1,000";"Equal mix";"Always";"Brand websites";"Smartphone";"Clothing";3;5;"4";5;"No";4;"Often";"4";"Sometimes";"Under $50";"Digital wallet";"Yes, regularly";5;4;2;"More variety";"No delivery wait";"Online"
116;"13/08/2026 20:26:20";19;"Female";"Student";"Philippines";"Under $1,000";"In-store only";"Often";"Local e-commerce";"Smartphone";"Groceries";3;4;"4";3;"Yes";5;"Always";"2";"Never";"$50-150";"Digital wallet";"Yes, occasionally";7;7;3;"Better prices";"Trust";"Offline"
120;"12/07/2026 19:00:32";21;"Male";"Student";"Philippines";"$3,000-6,000";"Equal mix";"Occasionally";"Local e-commerce";"Laptop";"miscellaneous";3;3;"5";5;"No";3;"Sometimes";"2";"Sometimes";"$300-500";"Cash";"No, never";6;9;2;"More variety";"Try product before buying";"Equal / both"
123;"15/07/2026 21:27:51";19;"Female";"Student";"Kenya";"$3,000-6,000";"Online only";"Always";"Local e-commerce";"Laptop";"Groceries";2;3;"2";5;"No";1;"Never";"1";"Often";"Under $50";"Debit Card";"Yes, occasionally";7;5;1;"Better prices";"Try product before buying";"Online"
124;"03/08/2026 13:48:42";18;"Male";"Employed part-time";"India";"Under $1,000";"Online only";"Occasionally";"Physical stores";"Smartphone";"miscellaneous";3;4;"5";2;"No";4;"Never";"3";"Sometimes";"Under $50";"Digital wallet";"Yes, regularly";8;7;3;"Better prices";"Try product before buying";"Online"
126;"31/07/2026 03:45:50";18;"Female";"Employed part-time";"Indonesia";"Under $1,000";"Online only";"Occasionally";"Physical stores";"Smartphone";"Groceries";4;3;"5";3;"No";4;"Sometimes";"2";"Never";"$50-150";"Debit Card";"No, never";8;4;3;"Convenience";"No delivery wait";"Online"
128;"12/07/2026 15:52:12";32;"Male";"Employed full-time";"South Africa";"$1,000-3,000";"Online only";"Rarely";"Local e-commerce";"Laptop";"Clothing";2;3;"5";5;"No";2;"Sometimes";"2";"Never";"$300-500";"Debit Card";"Yes, occasionally";6;5;1;"Better prices";"Not applicable";"Online"
129;"23/06/2026 18:13:31";21;"Female";"Student";"Slovakia";"Under $1,000";"Equal mix";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Beauty & personal care";5;3;"5";3;"No";4;"Often";"3";"Never";"$50-150";"Credit Card";"No, never";8;7;3;"Better prices";"Try product before buying";"Offline"
130;"09/07/2026 07:12:24";19;"Female";"Student";"India";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";1;2;"5";4;"No";2;"Often";"3";"Never";"$150-300";"Cash";"No, never";3;10;2;"Convenience";"Trust";"Online"
131;"08/08/2026 10:18:17";37;"Female";"Employed full-time";"Philippines";"Under $1,000";"Online only";"Occasionally";"Local e-commerce";"Laptop";"Groceries";2;1;"4";3;"No";1;"Often";"4";"Never";"Under $50";"Digital wallet";"No, never";6;8;4;"Better prices";"Not applicable";"Online"
133;"28/07/2026 09:50:20";39;"Female";"Employed full-time";"Mexico";"$3,000-6,000";"Equal mix";"Often";"Brand websites";"Smartphone";"Clothing";4;3;"4";4;"Yes";3;"Sometimes";"1";"Sometimes";"$300-500";"Digital wallet";"Yes, occasionally";8;7;1;"More variety";"Trust";"Online"
135;"19/08/2026 15:58:38";21;"Male";"Student";"Egypt";"Under $1,000";"Equal mix";"Occasionally";"Local e-commerce";"Laptop";"Unknown";3;3;"3";5;"No";2;"Often";"2";"Never";"Unknown";"Cash";"Unknown";8;8;1;"Convenience";"Try product before buying";"Offline"
137;"03/07/2026 12:34:17";24;"Female";"Student";"Indonesia";"Under $1,000";"Equal mix";"Occasionally";"Physical stores";"Smartphone";"Electronics";1;3;"4";3;"No";3;"Sometimes";"4";"Never";"Unknown";"Cash";"No, never";10;6;3;"Convenience";"No delivery wait";"Offline"
138;"30/06/2026 03:11:13";22;"Female";"Student";"Vietnam";"Under $1,000";"In-store only";"Occasionally";"Global marketplace (Amazon etc.)";"Laptop";"Clothing";3;4;"5";5;"No";2;"Always";"3";"Sometimes";"Unknown";"Cash";"Yes, occasionally";10;6;3;"Convenience";"Unknown";"Offline"
139;"23/08/2026 05:17:25";17;"Male";"Student";"Egypt";"$1,000-3,000";"In-store only";"Occasionally";"Brand websites";"Laptop";"Groceries";4;2;"3";3;"No";3;"Never";"1";"Often";"Under $50";"Credit Card";"Yes, occasionally";10;6;2;"More variety";"Try product before buying";"Unknown"
140;"09/08/2026 12:29:33";20;"Female";"Student";"India";"$6,000+";"Unknown";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";2;3;"5";4;"No";2;"Never";"1";"Sometimes";"$50-150";"Cash";"No, never";7;9;1;"Not applicable";"No delivery wait";"Offline"
142;"05/08/2026 11:17:27";26;"Female";"Employed part-time";"Mexico";"$6,000+";"Online only";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";2;4;"";4;"No";4;"Sometimes";"3";"Never";"$300-500";"Credit Card";"Yes, occasionally";9;8;2;"Unknown";"Try product before buying";"Online"
144;"16/08/2026 18:12:15";29;"Female";"Employed part-time";"Poland";"$1,000-3,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"miscellaneous";3;1;"4";4;"No";3;"Sometimes";"4";"Sometimes";"$50-150";"Credit Card";"Yes, regularly";5;4;3;"Unknown";"Trust";"Unknown"
145;"30/06/2026 21:16:17";23;"Male";"Student";"Mexico";"Under $1,000";"In-store only";"Occasionally";"Physical stores";"Smartphone";"miscellaneous";3;3;"3";3;"No";3;"Sometimes";"1";"Never";"Under $50";"Credit Card";"Unknown";6;8;2;"More variety";"No delivery wait";"Offline"
146;"21/08/2026 08:23:28";16;"Female";"Student";"Egypt";"Under $1,000";"Equal mix";"Often";"Physical stores";"Laptop";"Clothing";5;4;"4";3;"No";2;"Always";"1";"Sometimes";"Under $50";"Debit Card";"No, never";8;8;1;"Convenience";"Not applicable";"Offline"
147;"27/07/2026 00:32:33";18;"Male";"Student";"Mexico";"Under $1,000";"Online only";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Beauty & personal care";2;2;"5";5;"Yes";4;"Often";"3";"Sometimes";"$50-150";"Cash";"No, never";7;6;1;"Better prices";"Trust";"Online"
150;"03/08/2026 05:21:13";32;"Female";"Employed part-time";"United Kingdom";"$1,000-3,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Clothing";3;3;"4";4;"Yes";4;"Sometimes";"4";"Sometimes";"$150-300";"Cash";"No, never";3;7;2;"More variety";"Trust";"Offline"
151;"31/07/2026 06:08:14";25;"Male";"Employed part-time";"Vietnam";"Under $1,000";"Equal mix";"Occasionally";"Brand websites";"Smartphone";"Groceries";3;5;"3";4;"Yes";4;"Never";"5";"Never";"$50-150";"Debit Card";"No, never";8;6;4;"More variety";"Not applicable";"Online"
154;"22/08/2026 03:25:23";23;"Female";"Student";"Kenya";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Beauty & personal care";3;5;"4";4;"No";5;"Sometimes";"5";"Sometimes";"$150-300";"Digital wallet";"No, never";7;5;1;"Convenience";"Trust";"Online"
160;"24/08/2026 11:20:50";39;"Female";"Employed full-time";"Brazil";"$6,000+";"Online only";"Occasionally";"Unknown";"Smartphone";"miscellaneous";5;5;"5";3;"No";4;"Sometimes";"2";"Sometimes";"$300-500";"Debit Card";"No, never";7;6;2;"Convenience";"Trust";"Online"
161;"16/08/2026 01:06:40";20;"Prefer not to say";"Student";"India";"$3,000-6,000";"Equal mix";"Occasionally";"Local e-commerce";"Smartphone";"Clothing";5;4;"5";3;"No";3;"Sometimes";"4";"Sometimes";"$50-150";"Credit Card";"No, never";8;7;4;"Better prices";"Try product before buying";"Online"
163;"13/07/2026 20:38:18";37;"Prefer not to say";"Self-employed";"Philippines";"$3,000-6,000";"Online only";"Often";"Global marketplace (Amazon etc.)";"Smartphone";"Groceries";2;2;"5";4;"No";2;"Sometimes";"1";"Never";"$50-150";"Debit Card";"Yes, occasionally";8;4;1;"Convenience";"Try product before buying";"Online"
165;"26/06/2026 18:53:27";21;"Female";"Employed full-time";"India";"$6,000+";"Unknown";"Occasionally";"Brand websites";"Laptop";"Clothing";5;3;"5";5;"No";5;"Often";"1";"Sometimes";"$50-150";"Credit Card";"Yes, occasionally";8;1;1;"Convenience";"Trust";"Online"
